IATA,ICAO,Airport,Location,Timezone,Season
ACL,,Aguaclara Airport,"Aguaclara, Colombia",UTC-05:00,
AIW,,Ai-Ais Airport,"Ai-Ais, Namibia",UTC+02:00,Sep-Apr
AIL,,Ailigandí Airport,"Ailigandí, Panama",UTC-05:00,
AIC,,Ailinglaplap Airok Airport,"Airok, Ailinglaplap Atoll, Marshall Islands",UTC+12:00,
AIM,,Ailuk Airport,"Ailuk Atoll, Marshall Islands",UTC+12:00,
KKI,,Akiachak Airport (FAA: Z13),"Akiachak, Alaska, United States",UTC-09:00,Mar–Nov
KQA,,Akutan Airport,"Akutan, Alaska, United States",UTC-09:00,Mar–Nov
RHR,,Al Hamra Seaplane Base[1],"Ras al-Khaimah, United Arab Emirates",,
AUK,,Alakanuk Airport,"Alakanuk, Alaska, United States",UTC-09:00,Mar-Nov
XAL,,Álamos Airport,"Álamos, Sonora, Mexico",,
YPB,,Alberni Valley Regional Airport (TC: CBS8),"Port Alberni, British Columbia, Canada",,
BUK,,Albuq Airport,"Albuq, Yemen",UTC+03:00,
LEG,,Aleg Airport,"Aleg, Mauritania",UTC±00:00,
WKK,,Aleknagik Airport (FAA: 5A8),"Aleknagik, Alaska, United States",,
ALT,,Alenquer Airport,"Alenquer, Pará, Brazil",UTC-03:00,
AXL,,Alexandria Airport,"Alexandria Station, Northern Territory, Australia",UTC+09:30,
AOP,,Alférez FAP Alfredo Vladimir Sara Bauer Airport,"Andoas, Peru",UTC-05:00,
ZAA,,Alice Arm/Silver City Water Aerodrome (TC: CAC3),"Alice Arm, British Columbia, Canada",,
ALZ,,Alitak Seaplane Base,"Lazy Bay, Alaska, United States",UTC-09:00,Mar-Nov
MNH,,Al-Musannah Airport[1],"Al-Musannah, Oman",UTC+04:00,
AWE,,Alowe Airport,"Alowe, Gabon",UTC+01:00,
ALE,,Alpine–Casparis Municipal Airport (FAA: E38),"Alpine, Texas, United States",UTC-06:00,Mar-Nov
AYD,,Alroy Downs Airport,"Alroy Downs, Northern Territory, Australia",UTC+09:30,
AME,,Alto Molocue Airport,"Alto Molocue, Mozambique",UTC+02:00,
AWN,,Alton Downs Airport,"Alton Downs, South Australia, Australia",UTC+09:30,Oct-Apr
AXF,,Alxa Left Banner Bayanhot Airport,"Alxa Left Banner, Inner Mongolia, China",UTC+08:00,
RHT,,Alxa Right Banner Badanjilin Airport,"Alxa Right Banner, Inner Mongolia, China",,
AZB,,Amazon Bay Airport,"Amazon Bay, Papua New Guinea",UTC+10:00,
AHY,,Ambatolahy Airport,"Ambatolahy, Madagascar",UTC+03:00,
AMY,,Ambatomainty Airport,"Ambatomainty, Madagascar",UTC+03:00,
OHB,,Ambohibary Airport[1],"Moramanga, Madagascar",,
AMG,,Amboin Airport,"Amboin, Papua New Guinea",UTC+10:00,
RCN,,American River Airport[1],"American River, South Australia, Australia",,
AMX,,Ammaroo Airport,"Ammaroo, Northern Territory, Australia",UTC+09:30,
AOS,,Amook Bay Seaplane Base (FAA: AK81),"Amook Bay, Alaska, United States",UTC-09:00,Mar-Nov
OTS,,Anacortes Airport (FAA: 74S),"Anacortes, Washington, United States",,
YAA,,Anahim Lake Airport (TC: CAJ4),"Anahim Lake, British Columbia, Canada",,
DVD,,Andavadoaka Airport,"Andavadoaka, Madagascar",UTC+03:00,
OTT,,Andre Maggi Airport[1],"Cotriguaçu, Mato Grosso, Brazil",,
WAD,,Andriamena Airport,"Andriamena, Madagascar",,
ANL,,Andulo Airport,"Andulo, Angola",UTC+01:00,
ANA,,Angama Airstrip,"Maasai Mara, Kenya",UTC+03:00,
YAX,,Angling Lake/Wapekeka Airport[1] (TC: CKB6),"Wapekeka, Ontario, Canada",,
AGG,,Angoram Airport,"Angoram, Papua New Guinea",UTC+10:00,
ANZ,,Angus Downs Airport,"Angus Downs, Northern Territory, Australia",UTC+09:30,
AMK,,Animas Air Park (FAA: 00C),"Durango, Colorado, United States",UTC-07:00,Mar-Nov
WBE,,Ankaizina Airport[1],"Bealanana, Madagascar",,
NKO,,Ankokoambo Airport[1],"Ankokoambo, Madagascar",,
AOB,,Annanberg Airport,"Annanberg, Papua New Guinea",UTC+10:00,
AYL,,Anthony Lagoon Airport,"Anthony Lagoon, Northern Territory, Australia",UTC+09:30,
ATE,,Antlers Municipal Airport (FAA: 80F),"Antlers, Oklahoma, United States",UTC-06:00,Mar-Nov
YQJ,,April Point Water Aerodrome[1],"Quadra Island, British Columbia, Canada",,
AEQ,,Ar Horqin Airport,"Ar Horqin Banner, China",UTC+08:00,
RXA,,Ar Rawdah Airport[1],"Ar Rawdah (Raudha), Yemen",,
ARP,,Aragip Airport,"Aragip, Papua New Guinea",UTC+10:00,
MGI,,Aransas National Wildlife Refuge Airport[1] (FAA: XS10),"Matagorda Island, Texas, United States",UTC-06:00,Mar-Nov
AHF,,Arapahoe Municipal Airport (FAA: 37V),"Arapahoe, Nebraska, United States",UTC-06:00,Mar-Nov
RAW,,Arawa Airport[1],"Arawa, Papua New Guinea",,
ARO,,Arboletes Airport,"Arboletes, Colombia",UTC-05:00,
AHD,,Ardmore Downtown Executive Airport (FAA: 1F0),"Ardmore, Oklahoma, United States",UTC-06:00,Mar-Nov
ACM,,Arica Airport,"Arica, Colombia",UTC-05:00,
AQM,,Ariquemes Airport,"Ariquemes, Rondônia, Brazil",UTC-04:00,
AOA,,Aroa Airport,"Aroa, Papua New Guinea",UTC+10:00,
AON,,Arona Airport,"Arona, Papua New Guinea",UTC+10:00,
AYY,,Arugam Bay Seaplane Base[1],"Pottuvil, Sri Lanka",UTC+05:30,
APP,,Asapa Airport,"Asapa, Papua New Guinea",UTC+10:00,
ALK,,Asella Airport,"Asella, Ethiopia",UTC+03:00,
AHM,,Ashland Municipal Airport[1] (FAA: S03),"Ashland, Oregon, United States",UTC-08:00,Mar-Nov
ASZ,,Asirim Airport,"Asirim, Papua New Guinea",UTC+10:00,
ATX,,Atbasar Airport,"Atbasar, Kazakhstan",UTC+06:00,
ABP,,Atkamba Airport,"Atkamba, Papua New Guinea",UTC+10:00,
ATT,,Atmautluak Airport (FAA: 4A2),"Atmautluak, Alaska, United States",UTC-09:00,Mar-Nov
AUL,,Aur Airport,"Aur Atoll, Marshall Islands",UTC+12:00,
ASQ,,Austin Airport (FAA: 9U3),"Austin, Nevada, United States",UTC-08:00,Mar-Nov
AWP,,Austral Downs Airport,"Austral Downs, Northern Territory, Australia",UTC+09:30,
AWR,,Awar Airport,"Awar, Papua New Guinea",UTC+10:00,
AYC,,Ayacucho Airport,"Ayacucho, Colombia",UTC-05:00,
AYA,,Ayapel Airport,"Ayapel, Colombia",UTC-05:00,
BNQ,,Baganga Airport,"Baganga, Philippines",UTC+08:00,
BQI,,Bagani Airport[1],"Bagani, Namibia",UTC+01:00,Sep-Apr
BGT,,Bagdad Airport (FAA: E51),"Bagdad, Arizona, United States",UTC-07:00,
BHL,,Bahía de los Ángeles Airport,"Bahía de los Ángeles, Baja California, Mexico",UTC-08:00,Apr-Oct
BFQ,,Bahía Piña Airport,"Puerto Piña, Panama",UTC-05:00,
BJQ,,Bahja Airport[1],"Bahja, Oman",UTC+04:00,
BAP,,Baibara Airport,"Baibara, Papua New Guinea",UTC+10:00,
YBJ,,Baie-Johan-Beetz Seaplane Base,"Baie-Johan-Beetz, Quebec, Canada",,
BJN,,Bajone Airport,"Bajone, Mozambique",UTC+02:00,
BJE,,Baleela Airport[1],"Baleela, Sudan",UTC+03:00,
BAJ,,Bali Airport,"Bali, Papua New Guinea",UTC+10:00,
BKN,,Balkanabat Airport[1],"Balkanabat, Turkmenistan",UTC+05:00,
BMQ,,Bamburi Airport,"Bamburi, Kenya",UTC+03:00,
YBF,,Bamfield Water Aerodrome (TC: CAE9),"Bamfield, British Columbia, Canada",,
NAF,,Banaina Airport[1],"Banaina, Indonesia",,
BDY,,Bandon State Airport (FAA: S05),"Bandon, Oregon, United States",UTC-08:00,Mar-Nov
BYX,,Baniyala Airport,"Baniyala, Northern Territory, Australia",UTC+09:30,
BNZ,,Banz Airport,"Banz, Papua New Guinea",UTC+10:00,
YEB,,Bar River Airport[1] (TC: CPF2),"Bar River, Ontario, Canada",,
RRI,,Barora Airport[1],"Barora, Solomon Islands",,
BAC,,Barranca de Upia Airport,"Barranca de Upía, Colombia",UTC-05:00,
BQV,,Bartlett Cove Seaplane Base,"Bartlett Cove, Alaska, United States",UTC-09:00,Mar-Nov
BQJ,,Batagay Airport,"Batagay, Yakutia, Russia",UTC+10:00,
BVW,,Batavia Downs Airport,"Batavia Downs, Queensland, Australia",UTC+10:00,
BXM,,Batom Airport,"Batom, Indonesia",UTC+09:00,
PQD,,Batticaloa Seaplane Base[1],"Batticaloa, Sri Lanka",,
BCU,,Bauchi State Airport,"Bauchi, Nigeria",UTC+01:00,
BWJ,,Bawan Airport,"Bawan, Papua New Guinea",UTC+10:00,
BZB,,Bazaruto Island Airport,"Bazaruto Island, Mozambique",UTC+02:00,
BZX,,Bazhong Enyang Airport,"Bazhong, Sichuan, China",UTC+08:00,
BCC,,Bear Creek 3 Airport (FAA: Z48),"Bear Creek, Alaska, United States",UTC-09:00,Mar-Nov
XBE,,Bearskin Lake Airport (TC: CNE3),"Bearskin Lake, Ontario, Canada",,
YBW,,Bedwell Harbour Water Aerodrome (TC: CAB3),"Bedwell Harbour, British Columbia, Canada",,
BYV,,Beira Lake Seaplane Base[1],"Colombo, Sri Lanka",UTC+05:30,
PWI,,Beles Airport[1],"Pawi, Ethiopia",,
TZA,,Belize City Municipal Airport,"Belize City, Belize",,
KBE,,Bell Island Hot Springs Seaplane Base,"Bell Island, Alaska, United States",UTC-09:00,Mar–Nov
YSX,,Bella Bella/Shearwater Water Aerodrome (TC: CAW8),"Bella Bella, British Columbia, Canada",,
BYL,,Bella Yella Airport,"Bella Yella, Liberia",UTC±00:00,
PSB,,Bellefonte Airport[1] (FAA: N96),"Philipsburg, Pennsylvania, United States",,
BCG,,Bemichi Airport,"Kumaka, Guyana",UTC-04:00,
BZM,,Bemolanga Airport[1],"Bemolanga, Madagascar",UTC+03:00,
EVA,,Ben Bruce Memorial Airpark (FAA: 4TE8),"Evadale, Texas, United States",UTC-06:00,Mar-Nov
BCW,,Benguerra Island Airport,"Benguerra Island, Mozambique",UTC+02:00,
BZF,,Benton Field[1],"Redding, California, United States",UTC-08:00,Mar-Nov
BJT,,Bentota River Airport[1],"Bentota, Sri Lanka",UTC+05:30,
BEA,,Bereina Airport,"Bereina, Papua New Guinea",UTC+10:00,
ZDJ,,Bern Railway Station,"Bern, Switzerland",,
EZV,,Beryozovo Airport[1],"Beryozovo, Khanty-Mansi Autonomous Okrug, Russia",UTC+05:00,
BSV,,Besakoa Airport[1],"Besakoa, Madagascar",UTC+03:00,
JBT,,Bethel Seaplane Base (FAA: Z59),"Bethel, Alaska, United States",UTC-09:00,Mar-Nov
JAM,,Bezmer Air Base,"Yambol, Bulgaria",UTC+02:00,Mar-Oct
BHW,,Bhagatanwala Airport,"Sargodha, Pakistan",UTC+05:00,
BAW,,Biawonque Airport,"Biawonque, Gabon",UTC+01:00,
BCZ,,Bickerton Island Airport,"Bickerton Island, Northern Territory, Australia",UTC+09:30,
YIG,,Big Bay Water Aerodrome (TC: CAF6),"Stuart Island, British Columbia, Canada",,
RBF,,Big Bear City Airport[1] (FAA: L35),"Big Bear City, California, United States",,
BGK,,Big Creek Airport,"Big Creek, Belize",UTC-06:00,
BII,,Bikini Atoll Airport,"Bikini Atoll, Marshall Islands",UTC+12:00,
BIJ,,Biliau Airport,"Biliau, Papua New Guinea",UTC+10:00,
BIW,,Billiluna Airport,"Billiluna, Western Australia, Australia",UTC+08:00,
ZBL,,Biloela Airport,"Biloela, Queensland, Australia",,
UGU,,Bilogai Airport[1],"Bilogai, Indonesia",,
BIZ,,Bimin Airport,"Bimin, Papua New Guinea",UTC+10:00,
XBN,,Biniguni Airport,"Biniguni, Papua New Guinea",,
KBC,,Birch Creek Airport (FAA: Z91),"Birch Creek, Alaska, United States",UTC-09:00,Mar–Nov
BSQ,,Bisbee Municipal Airport (FAA: P04),"Bisbee, Arizona, United States",UTC-07:00,
BZP,,Bizant Airport,"Bizant, Queensland, Australia",UTC+10:00,
YBI,,Black Tickle Airport (TC: CCE4),"Black Tickle, Newfoundland and Labrador, Canada",,
BYW,,Blakely Island Airport (FAA: 38WA),"Blakely Island, Washington, United States",UTC-08:00,Mar-Nov
KJX,,Blangpidie Airport,"Blangpidie, Southwest Aceh Regency, Indonesia",UTC+07:00,
BFC,,Bloomfield Airport,"Bloomfield, Queensland, Australia",UTC+10:00,
XBB,,Blubber Bay Seaplane Base,"Blubber Bay, British Columbia, Canada",,
BXL,,Blue Lagoon Seaplane Base,"Nanuya Lailai, Fiji",UTC+12:00,Nov-Jan
BNV,,Boana Airport,"Boana, Papua New Guinea",UTC+10:00,
BOV,,Boang Island Airport,"Boang Island, Papua New Guinea",UTC+10:00,
YBO,,Bob Quinn Lake Airport (TC: CBW4),"Bob Quinn Lake, British Columbia, Canada",,
BOQ,,Boku Airport,"Boku, Papua New Guinea",UTC+11:00,
BVP,,Bolovip Airport,"Bolovip, Papua New Guinea",UTC+10:00,
BGP,,Bongo Airport,"Bongo, Gabon",UTC+01:00,
BXX,,Borama Airport,"Borama, Somalia",UTC+03:00,
BPB,,Boridi Airport,"Boridi, Papua New Guinea",UTC+10:00,
BXS,,Borrego Valley Airport (FAA: L08),"Borrego Springs, California, United States",UTC-08:00,Mar-Nov
BSW,,Boswell Bay Airport (FAA: AK97),"Boswell Bay, Alaska, United States",UTC-09:00,Mar-Nov
BTO,,Botopasi Airstrip,"Botopasi, Suriname",UTC-03:00,
BLD,,Boulder City Municipal Airport (FAA: 61B),"Boulder City, Nevada, United States",UTC-08:00,Mar-Nov
PCQ,,Boun Neua Airport[1],"Phongsaly, Laos",,
BYA,,Boundary Airport,"Boundary, Alaska, United States",UTC-09:00,Mar-Nov
BRH,,Brahman Airport,"Brahman, Papua New Guinea",UTC+10:00,
BCQ,,Brak Airport,"Brak, Libya",UTC+02:00,
BRJ,,Bright Airport,"Bright, Victoria, Australia",UTC+10:00,Oct-Apr
BHT,,Brighton Downs Airport,"Brighton Downs, Queensland, Australia",UTC+10:00,
BDX,,Broadus Airport[1],"Broadus, Montana, United States",UTC-07:00,Mar-Nov
XBR,,Brockville Regional Tackaberry Airport (TC: CNL3),"Brockville, Ontario, Canada",,
EPG,,Browns Airport (FAA: NE69),"Weeping Water, Nebraska, United States",UTC-06:00,Mar-Nov
BTD,,Brunette Downs Airport,"Brunette Downs, Northern Territory, Australia",UTC+09:30,
BHG,,Brus Laguna Airport,"Brus Laguna, Honduras",UTC-06:00,
CSE,,Buckhorn Ranch Airport (FAA: 0CO2),"Crested Butte, Colorado, United States",UTC-07:00,Mar–Nov
UBI,,Buin Airport[1],"Buin, Papua New Guinea",,
BIP,,Bulimba Airport,"Bulimba, Queensland, Australia",UTC+10:00,
BFG,,Bullfrog Basin Airport (FAA: U07),"Glen Canyon, Utah, United States",UTC-07:00,Mar-Nov
BZH,,Bumi Hills Airstrip[1],"Bumi Hills, Zimbabwe",UTC+02:00,
RUE,,Butembo Airport[1],"Butembo, Democratic Republic of the Congo",,
CMZ,,Caia Airport[1],"Caia, Mozambique",UTC+02:00,
CVI,,Caleta Olivia Airport,"Caleta Olivia, Santa Cruz, Argentina",UTC-03:00,
CTO,,Calverton Executive Airpark (FAA: 3C8),"Calverton, New York, United States",UTC-05:00,Mar–Nov
CMT,,Cameta Airport,"Cametá, Pará, Brazil",UTC-03:00,
YHH,,Campbell River Water Aerodrome (TC: CAE3),"Campbell River, British Columbia, Canada",,
CQA,,Canarana Airport,"Canarana, Mato Grosso, Brazil",UTC-04:00,Oct–Feb
CJD,,Candilejas Airport,"Candilejas, Colombia",UTC-05:00,
CDL,,Candle 2 Airport (FAA: AK75),"Candle, Alaska, United States",UTC-09:00,Mar–Nov
CNZ,,Cangamba Airport,"Cangamba, Angola",UTC+01:00,
CBY,,Canobie Airport,"Canobie Station, Queensland, Australia",UTC+10:00,
CTK,,Canton Municipal Airport (FAA: 7G9),"Canton, South Dakota, United States",UTC-06:00,Mar–Nov
CBI,,Cape Barren Island Airport,"Cape Barren Island, Tasmania, Australia",UTC+10:00,Oct–Apr
CQP,,Cape Flattery Airport,"Cape Flattery, Queensland, Australia",UTC+10:00,
CPI,,Cape Orford Airport[1],"Cape Orford, Papua New Guinea",UTC+10:00,
CZP,,Cape Pole Seaplane Base (FAA: Z71),"Cape Pole, Alaska, United States",UTC-09:00,Mar–Nov
CPN,,Cape Rodney Airport,"Cape Rodney, Papua New Guinea",UTC+10:00,
CVL,,Cape Vogel Airport,"Cape Vogel, Papua New Guinea",UTC+10:00,
CQT,,Caquetania Airport,"Caquetania, Colombia",UTC-05:00,
CZB,,Carlos Ruhl Airport,"Cruz Alta, Rio Grande do Sul, Brazil",UTC-03:00,Oct–Feb
CRY,,Carlton Hill Airport,"Carlton Hill Station, Western Australia, Australia",UTC+08:00,
CPG,,Carmen de Patagones Airport,"Carmen de Patagones, Buenos Aires, Argentina",UTC-03:00,
CFP,,Carpentaria Downs Airport,"Carpentaria Downs, Queensland, Australia",UTC+10:00,
CTE,,Cartí Airport,"Cartí, Panama",UTC-05:00,
ICS,,Cascade Airport[1] (FAA: KU70),"Cascade, Idaho, United States",UTC-07:00,Mar-Nov
CGG,,Casiguran Airport,"Casiguran, Philippines",UTC+08:00,
URB,,Castilho Airport[1] (Urubupunga Airport),"Castilho, São Paulo, Brazil",,
NUF,,Castlereigh Reservoir Seaplane Base[1],"Hatton, Sri Lanka",,
CSR,,Casuarito Airport,"Casuarito, Colombia",UTC-05:00,
CTR,,Cattle Creek Airport,"Cattle Creek, Northern Territory, Australia",UTC+09:30,
CDD,,Cauquira Airport,"Cauquira, Honduras",UTC-06:00,
CVH,,Caviahue Airport,"Caviahue, Neuquén, Argentina",UTC-03:00,
CUK,,Caye Caulker Airport,"Caye Caulker, Belize",UTC-06:00,
CYC,,Caye Chapel Airport,"Caye Chapel, Belize",UTC-06:00,
CWS,,Center Island Airport (FAA: 78WA),"Center Island, Washington, United States",UTC-08:00,Mar–Nov
JVI,,Central Jersey Regional Airport (FAA: 47N),"Manville, New Jersey, United States",UTC-05:00,Mar-Nov
CNT,,Charata Airport,"Charata, Chaco, Argentina",UTC-03:00,
SPB,,Charlotte Amalie Harbor Seaplane Base (St. Thomas Seaplane Base) (FAA: VI22),"St. Thomas Island, United States Virgin Islands",,
YHG,,Charlottetown Airport (TC: CCH4),"Charlottetown, Newfoundland and Labrador, Canada",,
NIR,,Chase Field Industrial Complex[1] (FAA: 1XA2),"Beeville, Texas, United States",,
CYM,,Chatham Seaplane Base,"Chatham, Alaska, United States",UTC-09:00,Mar–Nov
TIL,,Cheadle Airport[1] (TC: CFQ4),"Cheadle, Alberta, Canada",,
CEX,,Chena Hot Springs Airport (FAA: AK13),"Chena Hot Springs, Alaska, United States",UTC-09:00,Mar–Nov
TFU,,Chengdu Tianfu International Airport,"Jianyang, Chengdu, China",,
KCN,,Chernofski Harbor Seaplane Base,"Chernofski Harbor, Alaska, United States",UTC-09:00,Mar–Nov
CRH,,Cherrabah Airport,"Cherrabah, Queensland, Australia",UTC+10:00,
CBC,,Cherrabun Airport,"Cherrabun, Western Australia, Australia",UTC+08:00,
IVO,,Chibolo Airport,"Chibolo, Colombia",UTC-05:00,
CKX,,Chicken Airport,"Chicken, Alaska, United States",UTC-09:00,Mar–Nov
KBW,,Chignik Bay Seaplane Base (FAA: Z78),"Chignik, Alaska, United States",UTC-09:00,Mar–Nov
KCG,,Chignik Fisheries Airport (closed),"Chignik, Alaska, United States",,
KCL,,Chignik Lagoon Airport (Chignik Flats Airport),"Chignik Lagoon, Alaska, United States",UTC-09:00,Mar–Nov
KCQ,,Chignik Lake Airport (FAA: A79),"Chignik Lake, Alaska, United States",UTC-09:00,Mar–Nov
CJH,,Chilko Lake (Tsylos Park Lodge) Aerodrome (TC: CAG3),"Chilko Lake, British Columbia, Canada",UTC-08:00,Mar–Nov
IDC,,Chilonzuine Island Airstrip[1],"Chilonzuine Island, Mozambique",UTC+02:00,
CHZ,,Chiloquin State Airport (FAA: 2S7),"Chiloquin, Oregon, United States",UTC-08:00,Mar–Nov
SQT,,China Strait Airstrip[1],"Samarai, Papua New Guinea",,
INE,,Chinde Airport,"Chinde, Mozambique",UTC+02:00,
CGT,,Chinguetti Airport,"Chinguetti, Mauritania",UTC±00:00,
CIQ,,Chiquimula Airport,"Chiquimula, Guatemala",UTC-06:00,
CZN,,Chisana Airport,"Chisana, Alaska, United States",UTC-09:00,Mar–Nov
YKU,,Chisasibi Airport (TC: CSU2),"Chisasibi, Quebec, Canada",,
